MINISTERIO DE DEFENSA NACIONAL;;;;;;;
POLICÍA NACIONAL;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
DIRECCIÓN DE INVESTIGACIÓN CRIMINAL E INTERPOL;;;;;;;
GRUPO DE INFORMACIÓN DE CRIMINALIDAD;;;;;;;
VIOLENCIA INTRAFAMILIAR ;;;;;;;
PERÍODO DEL 01 DE ENERO AL 31 DE ENERO DEL 2024;;;;;;;
ARMA MEDIO ;DEPARTAMENTO ;MUNICIPIO ;FECHA HECHO ;GENERO ;*AGRUPA_EDAD_PERSONA;CODIGO DANE ;CANTIDAD 
CONTUNDENTES;SANTANDER;Curití;02/01/2024;FEMENINO;ADULTOS;68229000;1
CONTUNDENTES;SANTANDER;Curití;02/01/2024;MASCULINO;ADULTOS;68229000;1
CONTUNDENTES;SANTANDER;Curití;22/01/2024;FEMENINO;ADULTOS;68229000;1
CONTUNDENTES;SANTANDER;El Playón;01/01/2024;FEMENINO;ADULTOS;68255000;1
CONTUNDENTES;SANTANDER;Floridablanca;02/01/2024;FEMENINO;ADULTOS;68276000;1
CONTUNDENTES;SANTANDER;Floridablanca;03/01/2024;FEMENINO;ADULTOS;68276000;1
CONTUNDENTES;SANTANDER;Floridablanca;13/01/2024;FEMENINO;ADULTOS;68276000;1
CONTUNDENTES;SANTANDER;Floridablanca;16/01/2024;FEMENINO;MENORES;68276000;1
CONTUNDENTES;SANTANDER;Floridablanca;21/01/2024;FEMENINO;ADULTOS;68276000;1
CONTUNDENTES;SANTANDER;Floridablanca;22/01/2024;FEMENINO;ADULTOS;68276000;1
CONTUNDENTES;SANTANDER;Floridablanca;24/01/2024;FEMENINO;ADULTOS;68276000;1
CONTUNDENTES;SANTANDER;Floridablanca;25/01/2024;FEMENINO;ADULTOS;68276000;3
CONTUNDENTES;SANTANDER;Floridablanca;30/01/2024;MASCULINO;ADULTOS;68276000;1
CONTUNDENTES;SANTANDER;Girón;01/01/2024;MASCULINO;ADULTOS;68307000;1
CONTUNDENTES;SANTANDER;Girón;06/01/2024;MASCULINO;ADULTOS;68307000;1
CONTUNDENTES;SANTANDER;Girón;14/01/2024;FEMENINO;ADULTOS;68307000;1
CONTUNDENTES;SANTANDER;Girón;16/01/2024;FEMENINO;ADULTOS;68307000;1
CONTUNDENTES;SANTANDER;Girón;20/01/2024;MASCULINO;ADULTOS;68307000;1
CONTUNDENTES;SANTANDER;Girón;21/01/2024;FEMENINO;ADULTOS;68307000;1
CONTUNDENTES;SANTANDER;Girón;22/01/2024;FEMENINO;ADULTOS;68307000;2
CONTUNDENTES;SANTANDER;Girón;23/01/2024;FEMENINO;ADULTOS;68307000;1
CONTUNDENTES;SANTANDER;Girón;27/01/2024;MASCULINO;ADULTOS;68307000;1
CONTUNDENTES;SANTANDER;Girón;28/01/2024;FEMENINO;ADULTOS;68307000;1
CONTUNDENTES;SANTANDER;Girón;28/01/2024;MASCULINO;ADULTOS;68307000;1
CONTUNDENTES;SANTANDER;Girón;30/01/2024;FEMENINO;ADULTOS;68307000;1
CONTUNDENTES;SANTANDER;Girón;31/01/2024;MASCULINO;ADULTOS;68307000;1
CONTUNDENTES;SANTANDER;Güepsa;17/01/2024;FEMENINO;ADULTOS;68327000;1
CONTUNDENTES;SANTANDER;Güepsa;17/01/2024;MASCULINO;ADULTOS;68327000;1
CONTUNDENTES;SANTANDER;Güepsa;21/01/2024;FEMENINO;ADOLESCENTES;68327000;1
CONTUNDENTES;SANTANDER;Güepsa;25/01/2024;FEMENINO;ADULTOS;68327000;1
CONTUNDENTES;SANTANDER;Hato;21/01/2024;FEMENINO;ADULTOS;68344000;1
CONTUNDENTES;SANTANDER;Landázuri;13/01/2024;MASCULINO;ADULTOS;68385000;1
CONTUNDENTES;SANTANDER;Landázuri;17/01/2024;FEMENINO;ADULTOS;68385000;1
CONTUNDENTES;SANTANDER;Lebrija;10/01/2024;FEMENINO;ADULTOS;68406000;1
CONTUNDENTES;SANTANDER;Los Santos;21/01/2024;FEMENINO;ADULTOS;68418000;1
CONTUNDENTES;SANTANDER;Málaga;02/01/2024;FEMENINO;ADULTOS;68432000;1
CONTUNDENTES;SANTANDER;Málaga;29/01/2024;FEMENINO;ADULTOS;68432000;1
CONTUNDENTES;SANTANDER;Matanza;20/01/2024;FEMENINO;ADULTOS;68444000;1
CONTUNDENTES;SANTANDER;Matanza;20/01/2024;MASCULINO;ADOLESCENTES;68444000;1
CONTUNDENTES;SANTANDER;Piedecuesta;07/01/2024;FEMENINO;ADULTOS;68547000;1
CONTUNDENTES;SANTANDER;Piedecuesta;14/01/2024;FEMENINO;ADULTOS;68547000;1
CONTUNDENTES;SANTANDER;Piedecuesta;14/01/2024;MASCULINO;ADULTOS;68547000;1
CONTUNDENTES;SANTANDER;Piedecuesta;17/01/2024;FEMENINO;ADULTOS;68547000;2
CONTUNDENTES;SANTANDER;Piedecuesta;19/01/2024;FEMENINO;ADULTOS;68547000;1
CONTUNDENTES;SANTANDER;Piedecuesta;21/01/2024;FEMENINO;ADULTOS;68547000;1
CONTUNDENTES;SANTANDER;Piedecuesta;27/01/2024;FEMENINO;ADULTOS;68547000;1
CONTUNDENTES;SANTANDER;Pinchote;18/01/2024;MASCULINO;ADULTOS;68549000;1
CONTUNDENTES;SANTANDER;Puente Nacional;11/01/2024;FEMENINO;ADULTOS;68572000;1
CONTUNDENTES;SANTANDER;Puerto Wilches;30/01/2024;FEMENINO;ADULTOS;68575000;1
CONTUNDENTES;SANTANDER;Rionegro;01/01/2024;FEMENINO;ADULTOS;68615000;1
CONTUNDENTES;SANTANDER;Sabana de Torres;06/01/2024;MASCULINO;ADULTOS;68655000;1
CONTUNDENTES;SANTANDER;Sabana de Torres;07/01/2024;FEMENINO;ADULTOS;68655000;1
CONTUNDENTES;SANTANDER;Sabana de Torres;29/01/2024;FEMENINO;ADULTOS;68655000;1
CONTUNDENTES;SANTANDER;Sabana de Torres;29/01/2024;MASCULINO;ADULTOS;68655000;1
CONTUNDENTES;SANTANDER;San Gil;06/01/2024;MASCULINO;ADULTOS;68679000;2
CONTUNDENTES;SANTANDER;San Gil;19/01/2024;FEMENINO;ADULTOS;68679000;2
CONTUNDENTES;SANTANDER;San Gil;19/01/2024;MASCULINO;ADULTOS;68679000;1
CONTUNDENTES;SANTANDER;San Gil;31/01/2024;FEMENINO;ADULTOS;68679000;1
CONTUNDENTES;SANTANDER;San Vicente de Chucurí;24/01/2024;FEMENINO;ADULTOS;68689000;2
CONTUNDENTES;SANTANDER;Simacota;22/01/2024;FEMENINO;ADULTOS;68745000;1
CONTUNDENTES;SANTANDER;Socorro;01/01/2024;FEMENINO;ADULTOS;68755000;1
CONTUNDENTES;SANTANDER;Socorro;18/01/2024;FEMENINO;ADULTOS;68755000;1
CONTUNDENTES;SANTANDER;Socorro;24/01/2024;FEMENINO;ADULTOS;68755000;1
CONTUNDENTES;SANTANDER;Vélez;01/01/2024;MASCULINO;ADULTOS;68861000;1
CONTUNDENTES;SANTANDER;Vélez;22/01/2024;FEMENINO;MENORES;68861000;1
CONTUNDENTES;SANTANDER;Vélez;28/01/2024;MASCULINO;ADULTOS;68861000;1
CONTUNDENTES;SANTANDER;Vélez;29/01/2024;FEMENINO;ADULTOS;68861000;2
CONTUNDENTES;SANTANDER;Vélez;29/01/2024;MASCULINO;ADULTOS;68861000;2
CONTUNDENTES;SANTANDER;Villanueva;28/01/2024;MASCULINO;ADULTOS;68872000;1
CONTUNDENTES;SUCRE;Chalán;01/01/2024;FEMENINO;ADULTOS;70230000;1
CONTUNDENTES;SUCRE;Corozal;22/01/2024;FEMENINO;ADULTOS;70215000;1
CONTUNDENTES;SUCRE;Corozal;28/01/2024;FEMENINO;ADULTOS;70215000;1
CONTUNDENTES;SUCRE;Corozal;30/01/2024;FEMENINO;ADULTOS;70215000;1
CONTUNDENTES;SUCRE;Guaranda;17/01/2024;FEMENINO;ADULTOS;70265000;1
CONTUNDENTES;SUCRE;Los Palmitos;18/01/2024;FEMENINO;ADULTOS;70418000;1
CONTUNDENTES;SUCRE;Los Palmitos;19/01/2024;MASCULINO;ADULTOS;70418000;1
CONTUNDENTES;SUCRE;Los Palmitos;28/01/2024;FEMENINO;ADULTOS;70418000;1
CONTUNDENTES;SUCRE;Los Palmitos;28/01/2024;MASCULINO;ADULTOS;70418000;1
CONTUNDENTES;SUCRE;Majagual;16/01/2024;FEMENINO;ADOLESCENTES;70429000;1
CONTUNDENTES;SUCRE;Majagual;26/01/2024;FEMENINO;ADULTOS;70429000;1
CONTUNDENTES;SUCRE;Morroa;13/01/2024;FEMENINO;ADULTOS;70473000;1
CONTUNDENTES;SUCRE;Morroa;25/01/2024;FEMENINO;ADULTOS;70473000;1
CONTUNDENTES;SUCRE;San Luis de Sincé;11/01/2024;FEMENINO;ADULTOS;70742000;2
CONTUNDENTES;SUCRE;San Onofre;14/01/2024;FEMENINO;ADULTOS;70713000;1
CONTUNDENTES;SUCRE;Santiago de Tolú;01/01/2024;FEMENINO;ADULTOS;70820000;2
CONTUNDENTES;SUCRE;Santiago de Tolú;04/01/2024;FEMENINO;ADULTOS;70820000;1
CONTUNDENTES;SUCRE;Santiago de Tolú;15/01/2024;FEMENINO;ADULTOS;70820000;1
CONTUNDENTES;SUCRE;Santiago de Tolú;16/01/2024;MASCULINO;MENORES;70820000;1
CONTUNDENTES;SUCRE;Sincelejo (CT);01/01/2024;FEMENINO;ADULTOS;70001000;1
CONTUNDENTES;SUCRE;Sincelejo (CT);04/01/2024;FEMENINO;ADULTOS;70001000;1
CONTUNDENTES;SUCRE;Sincelejo (CT);06/01/2024;FEMENINO;ADULTOS;70001000;1
CONTUNDENTES;SUCRE;Sincelejo (CT);12/01/2024;MASCULINO;ADULTOS;70001000;1
CONTUNDENTES;SUCRE;Sincelejo (CT);14/01/2024;FEMENINO;ADULTOS;70001000;1
CONTUNDENTES;SUCRE;Sincelejo (CT);16/01/2024;FEMENINO;ADOLESCENTES;70001000;1
CONTUNDENTES;SUCRE;Sincelejo (CT);16/01/2024;FEMENINO;ADULTOS;70001000;3
CONTUNDENTES;SUCRE;Sincelejo (CT);16/01/2024;MASCULINO;ADOLESCENTES;70001000;1
CONTUNDENTES;SUCRE;Sincelejo (CT);16/01/2024;MASCULINO;ADULTOS;70001000;1
CONTUNDENTES;SUCRE;Sincelejo (CT);19/01/2024;MASCULINO;ADULTOS;70001000;1
CONTUNDENTES;SUCRE;Sincelejo (CT);20/01/2024;MASCULINO;ADULTOS;70001000;1
CONTUNDENTES;SUCRE;Sincelejo (CT);21/01/2024;FEMENINO;ADULTOS;70001000;1
CONTUNDENTES;SUCRE;Sincelejo (CT);22/01/2024;FEMENINO;ADOLESCENTES;70001000;1
CONTUNDENTES;SUCRE;Sincelejo (CT);22/01/2024;FEMENINO;ADULTOS;70001000;1
CONTUNDENTES;SUCRE;Sincelejo (CT);31/01/2024;FEMENINO;ADULTOS;70001000;1
CONTUNDENTES;SUCRE;Sucre;23/01/2024;MASCULINO;ADULTOS;70771000;1
CONTUNDENTES;SUCRE;Tolú Viejo;09/01/2024;FEMENINO;ADULTOS;70823000;1
CONTUNDENTES;TOLIMA;Coyaima;11/01/2024;FEMENINO;ADULTOS;73217000;1
CONTUNDENTES;TOLIMA;Coyaima;15/01/2024;MASCULINO;ADULTOS;73217000;1
CONTUNDENTES;TOLIMA;Cunday;20/01/2024;FEMENINO;ADULTOS;73226000;1
CONTUNDENTES;TOLIMA;Espinal;03/01/2024;FEMENINO;ADULTOS;73268001;1
CONTUNDENTES;TOLIMA;Espinal;09/01/2024;FEMENINO;ADULTOS;73268000;1
CONTUNDENTES;TOLIMA;Espinal;17/01/2024;MASCULINO;ADULTOS;73268000;1
CONTUNDENTES;TOLIMA;Espinal;25/01/2024;MASCULINO;ADULTOS;73268000;1
CONTUNDENTES;TOLIMA;Espinal;28/01/2024;FEMENINO;ADULTOS;73268000;1
CONTUNDENTES;TOLIMA;Espinal;31/01/2024;MASCULINO;ADULTOS;73268000;2
CONTUNDENTES;TOLIMA;Falan;03/01/2024;MASCULINO;MENORES;73270000;1
CONTUNDENTES;TOLIMA;Fresno;01/01/2024;MASCULINO;ADULTOS;73283000;1
CONTUNDENTES;TOLIMA;Guamo;02/01/2024;FEMENINO;ADULTOS;73319000;1
CONTUNDENTES;TOLIMA;Honda;05/01/2024;FEMENINO;ADULTOS;73349000;1
CONTUNDENTES;TOLIMA;Ibagué (CT);01/01/2024;FEMENINO;ADULTOS;73001000;3
CONTUNDENTES;TOLIMA;Ibagué (CT);01/01/2024;MASCULINO;ADULTOS;73001000;1
CONTUNDENTES;TOLIMA;Ibagué (CT);03/01/2024;FEMENINO;ADULTOS;73001000;1
CONTUNDENTES;TOLIMA;Ibagué (CT);05/01/2024;FEMENINO;ADULTOS;73001000;1
CONTUNDENTES;TOLIMA;Ibagué (CT);05/01/2024;MASCULINO;ADULTOS;73001000;1
CONTUNDENTES;TOLIMA;Ibagué (CT);06/01/2024;MASCULINO;ADULTOS;73001000;1
CONTUNDENTES;TOLIMA;Ibagué (CT);19/01/2024;FEMENINO;MENORES;73001000;1
CONTUNDENTES;TOLIMA;Ibagué (CT);26/01/2024;FEMENINO;ADULTOS;73001000;1
CONTUNDENTES;TOLIMA;Ibagué (CT);28/01/2024;MASCULINO;ADULTOS;73001000;1
CONTUNDENTES;TOLIMA;Ibagué (CT);29/01/2024;FEMENINO;ADULTOS;73001000;1
CONTUNDENTES;TOLIMA;Líbano;01/01/2024;FEMENINO;ADULTOS;73411000;1
CONTUNDENTES;TOLIMA;Mariquita;15/01/2024;FEMENINO;ADULTOS;73443000;1
CONTUNDENTES;TOLIMA;Melgar;27/01/2024;FEMENINO;ADULTOS;73449000;1
CONTUNDENTES;TOLIMA;Melgar;30/01/2024;MASCULINO;ADULTOS;73449000;1
CONTUNDENTES;TOLIMA;Natagaima;13/01/2024;FEMENINO;ADULTOS;73483000;1
CONTUNDENTES;TOLIMA;Planadas;22/01/2024;FEMENINO;ADULTOS;73555000;1
CONTUNDENTES;TOLIMA;Saldaña;06/01/2024;FEMENINO;ADULTOS;73671000;1
CONTUNDENTES;TOLIMA;San Antonio;17/01/2024;MASCULINO;ADULTOS;73675000;1
CONTUNDENTES;VALLE;Buenaventura;01/01/2024;FEMENINO;ADULTOS;76109000;4
CONTUNDENTES;VALLE;Buenaventura;03/01/2024;MASCULINO;ADULTOS;76109000;1
CONTUNDENTES;VALLE;Buenaventura;14/01/2024;FEMENINO;ADULTOS;76109000;1
CONTUNDENTES;VALLE;Buenaventura;14/01/2024;FEMENINO;MENORES;76109000;3
CONTUNDENTES;VALLE;Cali (CT);01/01/2024;FEMENINO;ADOLESCENTES;76001000;1
CONTUNDENTES;VALLE;Cali (CT);01/01/2024;FEMENINO;ADULTOS;76001000;21
CONTUNDENTES;VALLE;Cali (CT);01/01/2024;MASCULINO;ADULTOS;76001000;4
CONTUNDENTES;VALLE;Cali (CT);01/01/2024;MASCULINO;MENORES;76001000;1
CONTUNDENTES;VALLE;Cali (CT);02/01/2024;FEMENINO;ADULTOS;76001000;7
CONTUNDENTES;VALLE;Cali (CT);02/01/2024;MASCULINO;ADULTOS;76001000;2
CONTUNDENTES;VALLE;Cali (CT);03/01/2024;FEMENINO;ADULTOS;76001000;5
CONTUNDENTES;VALLE;Cali (CT);03/01/2024;MASCULINO;ADOLESCENTES;76001000;1
CONTUNDENTES;VALLE;Cali (CT);03/01/2024;MASCULINO;ADULTOS;76001000;3
CONTUNDENTES;VALLE;Cali (CT);04/01/2024;FEMENINO;ADOLESCENTES;76001000;1
CONTUNDENTES;VALLE;Cali (CT);04/01/2024;FEMENINO;ADULTOS;76001000;2
CONTUNDENTES;VALLE;Cali (CT);05/01/2024;FEMENINO;ADULTOS;76001000;4
CONTUNDENTES;VALLE;Cali (CT);05/01/2024;MASCULINO;ADULTOS;76001000;1
CONTUNDENTES;VALLE;Cali (CT);06/01/2024;FEMENINO;ADULTOS;76001000;3
CONTUNDENTES;VALLE;Cali (CT);07/01/2024;FEMENINO;ADOLESCENTES;76001000;1
CONTUNDENTES;VALLE;Cali (CT);07/01/2024;FEMENINO;ADULTOS;76001000;7
CONTUNDENTES;VALLE;Cali (CT);07/01/2024;MASCULINO;ADULTOS;76001000;2
CONTUNDENTES;VALLE;Cali (CT);08/01/2024;FEMENINO;ADULTOS;76001000;2
CONTUNDENTES;VALLE;Cali (CT);08/01/2024;MASCULINO;ADULTOS;76001000;4
CONTUNDENTES;VALLE;Cali (CT);09/01/2024;FEMENINO;ADULTOS;76001000;7
CONTUNDENTES;VALLE;Cali (CT);09/01/2024;MASCULINO;ADULTOS;76001000;2
CONTUNDENTES;VALLE;Cali (CT);10/01/2024;FEMENINO;ADULTOS;76001000;2
CONTUNDENTES;VALLE;Cali (CT);11/01/2024;FEMENINO;ADULTOS;76001000;3
CONTUNDENTES;VALLE;Cali (CT);11/01/2024;FEMENINO;MENORES;76001000;1
CONTUNDENTES;VALLE;Cali (CT);12/01/2024;FEMENINO;ADULTOS;76001000;3
CONTUNDENTES;VALLE;Cali (CT);13/01/2024;FEMENINO;ADULTOS;76001000;1
CONTUNDENTES;VALLE;Cali (CT);14/01/2024;FEMENINO;ADULTOS;76001000;6
CONTUNDENTES;VALLE;Cali (CT);14/01/2024;MASCULINO;ADULTOS;76001000;1
CONTUNDENTES;VALLE;Cali (CT);15/01/2024;FEMENINO;ADULTOS;76001000;2
CONTUNDENTES;VALLE;Cali (CT);16/01/2024;MASCULINO;ADULTOS;76001000;1
CONTUNDENTES;VALLE;Cali (CT);17/01/2024;FEMENINO;ADOLESCENTES;76001000;1
CONTUNDENTES;VALLE;Cali (CT);18/01/2024;FEMENINO;ADULTOS;76001000;2
CONTUNDENTES;VALLE;Cali (CT);19/01/2024;FEMENINO;ADULTOS;76001000;3
CONTUNDENTES;VALLE;Cali (CT);19/01/2024;MASCULINO;ADULTOS;76001000;1
CONTUNDENTES;VALLE;Cali (CT);20/01/2024;FEMENINO;ADULTOS;76001000;3
CONTUNDENTES;VALLE;Cali (CT);21/01/2024;FEMENINO;ADULTOS;76001000;3
CONTUNDENTES;VALLE;Cali (CT);22/01/2024;FEMENINO;ADULTOS;76001000;1
CONTUNDENTES;VALLE;Cali (CT);24/01/2024;FEMENINO;ADOLESCENTES;76001000;1
CONTUNDENTES;VALLE;Cali (CT);24/01/2024;FEMENINO;ADULTOS;76001000;3
CONTUNDENTES;VALLE;Cali (CT);25/01/2024;FEMENINO;ADULTOS;76001000;3
CONTUNDENTES;VALLE;Cali (CT);25/01/2024;MASCULINO;ADULTOS;76001000;1
CONTUNDENTES;VALLE;Cali (CT);25/01/2024;MASCULINO;MENORES;76001000;1
CONTUNDENTES;VALLE;Cali (CT);26/01/2024;FEMENINO;ADULTOS;76001000;2
CONTUNDENTES;VALLE;Cali (CT);26/01/2024;MASCULINO;ADULTOS;76001000;1
CONTUNDENTES;VALLE;Cali (CT);27/01/2024;FEMENINO;ADULTOS;76001000;3
CONTUNDENTES;VALLE;Cali (CT);28/01/2024;FEMENINO;ADULTOS;76001000;3
CONTUNDENTES;VALLE;Cali (CT);29/01/2024;FEMENINO;ADULTOS;76001000;1
CONTUNDENTES;VALLE;Cali (CT);30/01/2024;MASCULINO;ADULTOS;76001000;1
CONTUNDENTES;VALLE;Cali (CT);31/01/2024;FEMENINO;ADULTOS;76001000;2
CONTUNDENTES;VALLE;Cali (CT);31/01/2024;FEMENINO;MENORES;76001000;1
CONTUNDENTES;VALLE;Cali (CT);31/01/2024;MASCULINO;MENORES;76001000;1
CONTUNDENTES;VALLE;Calima;27/01/2024;MASCULINO;ADULTOS;76126000;1
CONTUNDENTES;VALLE;Candelaria;02/01/2024;FEMENINO;ADULTOS;76130000;2
CONTUNDENTES;VALLE;Candelaria;03/01/2024;FEMENINO;ADULTOS;76130000;2
CONTUNDENTES;VALLE;Candelaria;06/01/2024;FEMENINO;ADULTOS;76130000;1
CONTUNDENTES;VALLE;Candelaria;12/01/2024;FEMENINO;ADULTOS;76130000;2
CONTUNDENTES;VALLE;Candelaria;14/01/2024;FEMENINO;ADULTOS;76130000;1
CONTUNDENTES;VALLE;Candelaria;14/01/2024;MASCULINO;ADULTOS;76130000;1
CONTUNDENTES;VALLE;Candelaria;18/01/2024;FEMENINO;ADULTOS;76130000;1
CONTUNDENTES;VALLE;Candelaria;19/01/2024;MASCULINO;ADULTOS;76130000;1
CONTUNDENTES;VALLE;Candelaria;20/01/2024;FEMENINO;ADULTOS;76130000;1
CONTUNDENTES;VALLE;Candelaria;22/01/2024;MASCULINO;ADULTOS;76130000;1
CONTUNDENTES;VALLE;Candelaria;23/01/2024;FEMENINO;ADULTOS;76130000;1
CONTUNDENTES;VALLE;Candelaria;23/01/2024;MASCULINO;ADULTOS;76130000;1
CONTUNDENTES;VALLE;Candelaria;24/01/2024;FEMENINO;ADULTOS;76130000;1
CONTUNDENTES;VALLE;Candelaria;26/01/2024;FEMENINO;ADULTOS;76130000;1
CONTUNDENTES;VALLE;Candelaria;26/01/2024;MASCULINO;ADULTOS;76130000;1
CONTUNDENTES;VALLE;Cartago;17/01/2024;MASCULINO;ADULTOS;76147000;1
CONTUNDENTES;VALLE;Guadalajara de Buga;25/01/2024;FEMENINO;ADULTOS;76111000;1
CONTUNDENTES;VALLE;Jamundí;02/01/2024;MASCULINO;ADULTOS;76364000;1
CONTUNDENTES;VALLE;Jamundí;03/01/2024;FEMENINO;ADULTOS;76364000;1
CONTUNDENTES;VALLE;Jamundí;05/01/2024;MASCULINO;ADULTOS;76364000;1
CONTUNDENTES;VALLE;Jamundí;07/01/2024;FEMENINO;ADULTOS;76364000;1
CONTUNDENTES;VALLE;Jamundí;09/01/2024;FEMENINO;ADULTOS;76364000;1
CONTUNDENTES;VALLE;Jamundí;23/01/2024;MASCULINO;ADULTOS;76364000;1
CONTUNDENTES;VALLE;La Cumbre;01/01/2024;FEMENINO;ADULTOS;76377000;1
CONTUNDENTES;VALLE;Palmira;31/01/2024;FEMENINO;ADULTOS;76520000;1
CONTUNDENTES;VALLE;Palmira;31/01/2024;MASCULINO;ADULTOS;76520000;1
CONTUNDENTES;VALLE;Roldanillo;22/01/2024;MASCULINO;ADOLESCENTES;76622000;1
CONTUNDENTES;VALLE;Sevilla;25/01/2024;FEMENINO;ADULTOS;76736000;1
CONTUNDENTES;VALLE;Tuluá;14/01/2024;FEMENINO;ADULTOS;76834000;1
CONTUNDENTES;VALLE;Tuluá;20/01/2024;FEMENINO;ADULTOS;76834000;1
CONTUNDENTES;VALLE;Vijes;21/01/2024;FEMENINO;ADULTOS;76869000;1
CONTUNDENTES;VALLE;Yumbo;01/01/2024;FEMENINO;ADULTOS;76892000;4
CONTUNDENTES;VALLE;Yumbo;05/01/2024;FEMENINO;ADULTOS;76892000;1
CONTUNDENTES;VALLE;Yumbo;07/01/2024;FEMENINO;ADULTOS;76892000;1
CONTUNDENTES;VALLE;Yumbo;09/01/2024;FEMENINO;ADULTOS;76892000;1
CONTUNDENTES;VALLE;Yumbo;10/01/2024;MASCULINO;ADULTOS;76892000;1
CONTUNDENTES;VAUPÉS;Mitú (CT);02/01/2024;FEMENINO;ADULTOS;97001000;1
NO REPORTADO;ANTIOQUIA;Necoclí;21/01/2024;FEMENINO;ADULTOS;05490000;1
NO REPORTADO;ANTIOQUIA;Necoclí;22/01/2024;FEMENINO;ADULTOS;05490000;1
SIN EMPLEO DE ARMAS;AMAZONAS;Leticia (CT);21/01/2024;FEMENINO;ADULTOS;91001000;1
SIN EMPLEO DE ARMAS;AMAZONAS;Leticia (CT);24/01/2024;FEMENINO;ADOLESCENTES;91001000;1
SIN EMPLEO DE ARMAS;AMAZONAS;Leticia (CT);24/01/2024;FEMENINO;ADULTOS;91001000;1
SIN EMPLEO DE ARMAS;AMAZONAS;Leticia (CT);26/01/2024;FEMENINO;ADULTOS;91001000;1
SIN EMPLEO DE ARMAS;ANTIOQUIA;Abejorral;06/01/2024;FEMENINO;ADULTOS;05002000;1
SIN EMPLEO DE ARMAS;ANTIOQUIA;Alejandría;04/01/2024;FEMENINO;ADULTOS;05021000;1
SIN EMPLEO DE ARMAS;ANTIOQUIA;Amagá;03/01/2024;FEMENINO;ADULTOS;05030000;1
SIN EMPLEO DE ARMAS;ANTIOQUIA;Amagá;09/01/2024;FEMENINO;ADULTOS;05030000;1
SIN EMPLEO DE ARMAS;ANTIOQUIA;Amagá;09/01/2024;MASCULINO;ADULTOS;05030000;1
SIN EMPLEO DE ARMAS;ANTIOQUIA;Amagá;13/01/2024;FEMENINO;ADULTOS;05030000;1
SIN EMPLEO DE ARMAS;ANTIOQUIA;Amagá;14/01/2024;FEMENINO;ADULTOS;05030000;1
SIN EMPLEO DE ARMAS;ANTIOQUIA;Amalfi;17/01/2024;FEMENINO;ADULTOS;05031000;1
SIN EMPLEO DE ARMAS;ANTIOQUIA;Andes;04/01/2024;FEMENINO;ADULTOS;05034000;1
SIN EMPLEO DE ARMAS;ANTIOQUIA;Andes;10/01/2024;FEMENINO;ADULTOS;05034000;1
SIN EMPLEO DE ARMAS;ANTIOQUIA;Andes;13/01/2024;FEMENINO;ADULTOS;05034000;1
SIN EMPLEO DE ARMAS;ANTIOQUIA;Andes;13/01/2024;MASCULINO;ADULTOS;05034000;2
SIN EMPLEO DE ARMAS;ANTIOQUIA;Andes;19/01/2024;FEMENINO;ADULTOS;05034000;1
SIN EMPLEO DE ARMAS;ANTIOQUIA;Andes;23/01/2024;FEMENINO;ADULTOS;05034000;1
SIN EMPLEO DE ARMAS;ANTIOQUIA;Angostura;11/01/2024;MASCULINO;ADULTOS;05038000;1
SIN EMPLEO DE ARMAS;ANTIOQUIA;Anorí;09/01/2024;FEMENINO;ADULTOS;05040000;1
SIN EMPLEO DE ARMAS;ANTIOQUIA;Apartadó;01/01/2024;FEMENINO;ADULTOS;05045000;2
SIN EMPLEO DE ARMAS;ANTIOQUIA;Apartadó;02/01/2024;FEMENINO;ADULTOS;05045000;2
SIN EMPLEO DE ARMAS;ANTIOQUIA;Apartadó;03/01/2024;MASCULINO;ADULTOS;05045000;1
SIN EMPLEO DE ARMAS;ANTIOQUIA;Apartadó;05/01/2024;MASCULINO;ADULTOS;05045000;1
SIN EMPLEO DE ARMAS;ANTIOQUIA;Apartadó;06/01/2024;FEMENINO;ADULTOS;05045000;1
SIN EMPLEO DE ARMAS;ANTIOQUIA;Apartadó;07/01/2024;FEMENINO;ADULTOS;05045000;2
SIN EMPLEO DE ARMAS;ANTIOQUIA;Apartadó;09/01/2024;FEMENINO;ADULTOS;05045000;1
SIN EMPLEO DE ARMAS;ANTIOQUIA;Apartadó;09/01/2024;MASCULINO;ADULTOS;05045000;1
SIN EMPLEO DE ARMAS;ANTIOQUIA;Apartadó;10/01/2024;FEMENINO;ADULTOS;05045000;2
SIN EMPLEO DE ARMAS;ANTIOQUIA;Apartadó;15/01/2024;FEMENINO;ADULTOS;05045000;1
SIN EMPLEO DE ARMAS;ANTIOQUIA;Apartadó;24/01/2024;FEMENINO;ADULTOS;05045000;1
SIN EMPLEO DE ARMAS;ANTIOQUIA;Apartadó;27/01/2024;FEMENINO;ADULTOS;05045000;1
SIN EMPLEO DE ARMAS;ANTIOQUIA;Apartadó;28/01/2024;FEMENINO;ADULTOS;05045000;1
SIN EMPLEO DE ARMAS;ANTIOQUIA;Apartadó;28/01/2024;MASCULINO;ADULTOS;05045000;1
SIN EMPLEO DE ARMAS;ANTIOQUIA;Apartadó;30/01/2024;FEMENINO;ADULTOS;05045000;1
SIN EMPLEO DE ARMAS;ANTIOQUIA;Barbosa;01/01/2024;FEMENINO;ADULTOS;05079000;4
